,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
0,"Amazon's stock is about to get much, much cheaper",https://edition.cnn.com/2022/03/09/investing/amazon-stock-split/index.html,20220310T011643,"['CNN Business', 'David Goldman']",New York  (  CNN Business  )  Amazon shares are about to get 20 times less expensive.,https://cdn.cnn.com/cnnnext/dam/assets/220309175255-amazon-headquarters-file-052021-super-tease.jpg,CNN,Markets,edition.cnn.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.658903'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",-0.081387,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.275867', 'ticker_sentiment_score': '-0.0814', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.093653', 'ticker_sentiment_score': '-0.273868', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.653386', 'ticker_sentiment_score': '0.027606', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BRK-A', 'relevance_score': '0.093653', 'ticker_sentiment_score': '-0.273868', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
1,Here's What Social Media Had to Say About Apple's Big Event,https://www.thestreet.com/technology/heres-what-social-media-had-to-say-about-apples-big-event,20220310T004800,['Vidhi Choudhary'],From the brief Spotify outage to a Big Mac reference and lots more that happened real time during Apple's marquee event.,https://www.thestreet.com/.image/ar_16:9%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_faces:center%2Cq_auto:good%2Cw_620/MTg3MzQyMDQyOTI0MzI4ODQ2/cadillac-lyriq.jpg,The Street,n/a,www.thestreet.com,"[{'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}]",0.014178,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.695951', 'ticker_sentiment_score': '-0.001095', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SPOT', 'relevance_score': '0.695951', 'ticker_sentiment_score': '-0.01849', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'INTC', 'relevance_score': '0.268098', 'ticker_sentiment_score': '0.112955', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MCD', 'relevance_score': '0.268098', 'ticker_sentiment_score': '0.02375', 'ticker_sentiment_label': 'Neutral'}]"
2,These 3 Household Tech Stocks Can Give Your Portfolio a Boost,https://www.zacks.com/commentary/1879893/these-3-household-tech-stocks-can-give-your-portfolio-a-boost,20220309T233000,['Zacks Investment Research'],Let's take a look at why these three Zacks Rank #1 tech names could be great additions to a portfolio during volatile times.,https://staticx-tuner.zacks.com/images/articles/main/94/53.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.96136'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.126694,Neutral,"[{'ticker': 'AMD', 'relevance_score': '0.326759', 'ticker_sentiment_score': '0.086227', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.357262', 'ticker_sentiment_score': '0.110153', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.295708', 'ticker_sentiment_score': '0.061946', 'ticker_sentiment_label': 'Neutral'}]"
3,"Amazon's stock is about to get much, much cheaper",https://www.cnn.com/2022/03/09/investing/amazon-stock-split/index.html,20220309T231644,"['David Goldman', 'CNN Business']",New York  (  CNN Business  )  Amazon shares are about to get 20 times less expensive.,https://cdn.cnn.com/cnnnext/dam/assets/220309175255-amazon-headquarters-file-052021-super-tease.jpg,CNN,Markets,www.cnn.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.623304'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]",-0.099924,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.298506', 'ticker_sentiment_score': '-0.0814', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.101668', 'ticker_sentiment_score': '-0.273868', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AMZN', 'relevance_score': '0.556687', 'ticker_sentiment_score': '-0.009313', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BRK-A', 'relevance_score': '0.101668', 'ticker_sentiment_score': '-0.273868', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
4,"Amazon Announces 20-For-1 Stock Split, Share Buyback: Here Are The Details",https://www.benzinga.com/news/22/03/26071504/amazon-announces-20-for-1-stock-split-share-buyback-here-are-the-details,20220309T221216,[],"Amazon.com Inc  ( NASDAQ: AMZN )  made two big announcements after market close Wednesday.
What Happened: Amazon's Board of Directors authorized a 20-for-one stock split on common shares. The record date for the stock split will be the close of business on May 27, 2022. Shares are expected to trade ",https://cdn.benzinga.com/files/imagecache/story_image_685x375C/images/story/2012/amazon-447034_1920_129_34.jpeg,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.5855'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",-0.022535,Neutral,"[{'ticker': 'GOOG', 'relevance_score': '0.225845', 'ticker_sentiment_score': '0.009199', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.225845', 'ticker_sentiment_score': '0.009199', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.225845', 'ticker_sentiment_score': '0.009199', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.803382', 'ticker_sentiment_score': '-0.013398', 'ticker_sentiment_label': 'Neutral'}]"
5,Amazon Stock Soars After 20-For-1 Split. $10 Billion Share Buyback,https://www.thestreet.com/markets/amazon-stock-soars-after-20-for-1-split-10-billion-share-buyback,20220309T220400,['Martin Baccardax'],"Amazon will split its stock in a 20-for-1 adjusted that will begin trading on June 6, the company said Wednesday.",https://www.thestreet.com/.image/ar_16:9%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_faces:center%2Cq_auto:good%2Cw_620/MTY4NjQ3NDEzOTM5MTg1Mjg3/intel-partners-with-lebron-james-for-final-four-ad.jpg,The Street,n/a,www.thestreet.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.047651,Neutral,"[{'ticker': 'GOOG', 'relevance_score': '0.292456', 'ticker_sentiment_score': '0.007531', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'RIVN', 'relevance_score': '0.292456', 'ticker_sentiment_score': '0.103883', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.292456', 'ticker_sentiment_score': '0.211241', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.292456', 'ticker_sentiment_score': '0.211241', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.831046', 'ticker_sentiment_score': '0.04557', 'ticker_sentiment_label': 'Neutral'}]"
6,"Good News From Target, a Change for Disney+, and More",https://www.fool.com/investing/2022/03/09/good-news-from-target-a-change-for-disney-and-more/,20220309T214100,['Chris Hill'],A look at market headlines.,https://g.foolcdn.com/misc-assets/stock-advisor-vs-sp_small.png,Motley Fool,n/a,www.fool.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999999'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.197427,Somewhat-Bullish,"[{'ticker': 'NFLX', 'relevance_score': '0.036557', 'ticker_sentiment_score': '-0.417512', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'TGT', 'relevance_score': '0.012189', 'ticker_sentiment_score': '0.134018', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.006095', 'ticker_sentiment_score': '0.272142', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.024376', 'ticker_sentiment_score': '0.307814', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TWTR', 'relevance_score': '0.012189', 'ticker_sentiment_score': '0.238531', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ACN', 'relevance_score': '0.042644', 'ticker_sentiment_score': '0.137678', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.006095', 'ticker_sentiment_score': '0.272142', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'COST', 'relevance_score': '0.066965', 'ticker_sentiment_score': '-0.41656', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'ZM', 'relevance_score': '0.06089', 'ticker_sentiment_score': '0.015338', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DPUKY', 'relevance_score': '0.012189', 'ticker_sentiment_score': '-0.115228', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SG', 'relevance_score': '0.054811', 'ticker_sentiment_score': '0.520546', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'BBY', 'relevance_score': '0.030467', 'ticker_sentiment_score': '0.072017', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BILI', 'relevance_score': '0.018283', 'ticker_sentiment_score': '0.24401', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CMG', 'relevance_score': '0.030467', 'ticker_sentiment_score': '0.521772', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.006095', 'ticker_sentiment_score': '-0.868082', 'ticker_sentiment_label': 'Bearish'}, {'ticker': 'CRM', 'relevance_score': '0.066965', 'ticker_sentiment_score': '0.2786', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
7,Why Apple Stock Climbed Today,https://www.fool.com/investing/2022/03/09/why-apple-stock-climbed-today/,20220309T205702,['Joe Tenebruso'],Intriguing new versions of iPhones and Macs could mean more profits for investors.,https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F669799%2Fapple-iphone-se.jpg&w=700&op=resize,Motley Fool,n/a,www.fool.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.116775,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.849946', 'ticker_sentiment_score': '0.116775', 'ticker_sentiment_label': 'Neutral'}]"
8,"'She was like a big sister to all of us' --- Tech worker killed with her children attempting to flee Ukraine should be remembered as more than a statistic, colleague says",https://www.marketwatch.com/story/she-was-like-a-big-sister-to-all-of-us-tech-worker-killed-with-her-children-attempting-to-flee-ukraine-should-be-remembered-as-more-than-a-statistic-colleague-says-11646859319,20220309T205500,['Jon Swartz'],"Employees of SE Ranking, the Silicon Valley company whose chief accountant is the first known tech worker to be killed in Russia's invasion of Ukraine, want Tatiana Perebeinis to be remembered as more than a statistic, a co-worker told MarketWatch on Wednesday.",https://images.mktw.net/im-501554/social,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}]",-0.051194,Neutral,"[{'ticker': 'NFLX', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.306516', 'ticker_sentiment_score': '-0.008758', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CSCO', 'relevance_score': '0.156224', 'ticker_sentiment_score': '-0.094279', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'KO', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'F', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WIX', 'relevance_score': '0.104523', 'ticker_sentiment_score': '-0.228298', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NYT', 'relevance_score': '0.052374', 'ticker_sentiment_score': '-0.012686', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NKE', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ORCL', 'relevance_score': '0.20726', 'ticker_sentiment_score': '-0.008758', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ABNB', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNAP', 'relevance_score': '0.104523', 'ticker_sentiment_score': '-0.028221', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DIS', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SBUX', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FB', 'relevance_score': '0.156224', 'ticker_sentiment_score': '-0.036009', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BA', 'relevance_score': '0.104523', 'ticker_sentiment_score': '0.008418', 'ticker_sentiment_label': 'Neutral'}]"
9,Is PayPal Stock a Buy?,https://www.fool.com/investing/2022/03/09/is-paypal-stock-a-buy/,20220309T200800,['John Ballard'],"The market has turned negative on the stock, but PayPal is still a force in digital payments.",https://g.foolcdn.com/image/?url=https%3A%2F%2Fg.foolcdn.com%2Feditorial%2Fimages%2F669783%2Fpaypal-and-venmo-office-in-new-york-cityas-west-village.png&w=700&op=resize,Motley Fool,n/a,www.fool.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Earnings', 'relevance_score': '0.917436'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",-0.156587,Somewhat-Bearish,"[{'ticker': 'PYPL', 'relevance_score': '0.683612', 'ticker_sentiment_score': '-0.168434', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AAPL', 'relevance_score': '0.225321', 'ticker_sentiment_score': '0.055362', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAC', 'relevance_score': '0.113812', 'ticker_sentiment_score': '-0.186547', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'EBAY', 'relevance_score': '0.113812', 'ticker_sentiment_score': '-0.123555', 'ticker_sentiment_label': 'Neutral'}]"
