,index,unnamed: 0,date,open,high,low,close,adj close,volume,dividends,stock splits,title,url,summary,overall_sentiment_score,relevance_score,ticker_sentiment_score,feature_close,feature_open,feature_high,feature_low,feature_volume,feature_sentiment,categ_test,categ_test2,position,real_position,portfolio_valuation,Asset_value,Money_fiat,reward
0,3060,3060.0,2022-03-01,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,161.56195068359375,83474400.0,0.0,0.0,"US stocks fall, oil tops $105 as Ukraine crisis rattles markets",https://www.aljazeera.com/economy/2022/3/1/us-stocks-fall-oil-tops-105-as-ukraine-crisis-rattles-markets,"A surge in oil sent shivers through risky assets Tuesday, reversing an early recovery in American stocks and sending some European markets down 4%. Bonds rallied amid concern about the impact of war on global economies, with 10-year U.S. yields posting their worst four-day drop since December.",-0.27746,0.062711,-0.24775,0.031219218867058855,0.03127528011090063,0.03134556288007081,0.031172862963032684,0.11176501775163697,-0.24775,"(0.0302, 0.0324]","(155.85, 170.09]",1,,500.0,500.0,0.0,0
1,3061,3061.0,2022-03-02,164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,164.8882293701172,79724800.0,0.0,0.0,Russia says its economy is taking 'serious blows' as isolation grows,https://www.cnn.com/2022/03/02/business/russia-markets-economy-sberbank/index.html,"London/Moscow  (  CNN Business  )  The Russian economy is taking ""serious blows,"" the Kremlin acknowledged Wednesday, as the country's growing isolation piles further pressure on its tottering financial system.",-0.469431,0.195245,-0.420224,0.03071178953643609,0.030633055503099936,0.030740557514251234,0.030580232115839063,0.10923445922742282,-0.420224,"(0.0302, 0.0324]","(155.85, 170.09]",0,0.0,510.2941197095033,0.0,510.2941197095033,10.29411970950332
2,3062,3062.0,2022-03-03,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,164.56155395507812,76678400.0,0.0,0.0,Why many businesses are getting tougher on Russia than sanctions require | Business,https://www.cnn.com/2022/03/03/business/business-go-beyond-russian-sanctions/index.html,Why many businesses are getting tougher on Russia than sanctions require CNN,-0.32199,0.164618,-0.249584,0.030760828233590203,0.030841351328956268,0.03085704254471873,0.03073616924590262,0.10921693482892829,-0.249584,"(0.0302, 0.0324]","(155.85, 170.09]",1,1.0,510.2941197095033,510.2941197095033,0.0,0.0
3,3063,3063.0,2022-03-04,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,161.53224182128906,83737200.0,0.0,0.0,How to Boost Your Portfolio with Top Computer and Technology Stocks Set to Beat Earnings,https://www.zacks.com/stock/news/1877470/how-to-boost-your-portfolio-with-top-computer-and-technology-stocks-set-to-beat-earnings,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,0.095876,0.304774,0.078917,0.031223831881189937,0.031273211183073794,0.0313125779234072,0.031183511206061925,0.11180482984549076,0.078917,"(0.0302, 0.0324]","(155.85, 170.09]",0,0.0,500.90051566324433,0.0,500.90051566324433,-9.393604046258986
4,3064,3064.0,2022-03-07,163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,157.7011260986328,96418800.0,0.0,0.0,Here's How Wedbush Views Apple Ahead Of Its March 8 Event,https://www.benzinga.com/news/22/03/26016559/heres-how-wedbush-views-apple-ahead-of-its-march-8-event,"Wedbush analyst Dan Ives rated Apple Inc  ( NASDAQ: AAPL )  as Outperform with a $200 price target  ( 22.6% upside ) .
The iPhone maker is set to host a virtual product event tomorrow, where it will likely unveil a new iPhone SE with 5G capabilities and a new iPad Air and some Macs using its M-serie",-0.074536,0.607733,0.00384,0.03183169578738654,0.03198968148479492,0.03205314881825684,0.03182144132819819,0.11540622353497641,0.00384,"(0.0302, 0.0324]","(155.85, 170.09]",1,1.0,500.90051566324433,500.90051566324433,0.0,0.0
5,3065,3065.0,2022-03-08,158.82000732421875,162.8800048828125,155.8000030517578,157.44000244140625,155.8597869873047,131148300.0,0.0,0.0,3 Non-Apple Stocks To Play The New iPhone And iPad Air,https://www.benzinga.com/news/22/03/26047683/3-non-apple-stocks-to-play-the-new-iphone-and-ipad-air,"Apple Inc  ( NASDAQ: AAPL )  has concluded its Tuesday keynote event, where Cupertino unveiled new products, software and plans for AppleTV in 2022. The new products include the iPhone SE, iPad Air, iMac and Mac Studio. 
In the hours leading up to the event, shares of Apple were trading 2.2% higher ",-0.014092,0.971941,0.005752,0.03213315784019786,0.03218858900532341,0.03234891821877084,0.032066648086487515,0.11872357096089761,0.005752,"(0.0302, 0.0324]","(155.85, 170.09]",0,0.0,495.0519579293419,0.0,495.0519579293419,-5.848557733902453
6,3066,3066.0,2022-03-09,161.47999572753906,163.41000366210938,159.41000366210938,162.9499969482422,161.314453125,91454900.0,0.0,0.0,Apple  ( AAPL )  Inks Streaming Deal With Major League Baseball,https://www.zacks.com/stock/news/1879582/apple-aapl-inks-streaming-deal-with-major-league-baseball,Apple (AAPL) announces its deal with Major League Baseball to stream weekday national games via the Apple TV+ streaming service.,-0.045394,0.924906,-0.033773,0.03125770777506191,0.031202094904865505,0.031275007658287814,0.03112291879471041,0.11249682022626994,-0.033773,"(0.0302, 0.0324]","(155.85, 170.09]",0,0.0,495.0519579293419,0.0,495.0519579293419,0.0
7,3067,3067.0,2022-03-10,160.1999969482422,160.38999938964844,155.97999572753906,158.52000427246094,156.92893981933594,105342000.0,0.0,0.0,Here's What Social Media Had to Say About Apple's Big Event,https://www.thestreet.com/technology/heres-what-social-media-had-to-say-about-apples-big-event,From the brief Spotify outage to a Big Mac reference and lots more that happened real time during Apple's marquee event.,0.014178,0.695951,-0.001095,0.0319573596942837,0.03202386373179332,0.03203134121051735,0.03185546070155222,0.11653243918810943,-0.001095,"(0.0302, 0.0324]","(155.85, 170.09]",1,1.0000000000000002,495.0519579293419,495.05195792934194,-5.684341886080802e-14,0.0
8,3074,3074.0,2022-03-21,163.50999450683594,166.35000610351562,163.00999450683594,165.3800048828125,163.72007751464844,95811400.0,0.0,0.0,"Apple suffers widespread outage, services down for some users",https://www.marketwatch.com/story/apple-suffers-widespread-outage-services-down-for-some-users-11647889503,"Apple Inc. said several of its properties were suffering from an outage Monday, disrupting access for users and businesses.",-0.184153,0.999836,-0.184153,0.030887929223599345,0.0308191677740174,0.03092329113655012,0.030800649198972536,0.11112523697647854,-0.184153,"(0.0302, 0.0324]","(155.85, 170.09]",0,0.0,516.4754795166486,0.0,516.4754795166486,21.423521587306766
9,3075,3075.0,2022-03-22,165.50999450683594,169.4199981689453,164.91000366210938,168.82000732421875,167.1255645751953,81532000.0,0.0,0.0,"Apple Watch Series 3 Is Nearing The End Of Its Life, Analyst Says - Here's Why",https://www.benzinga.com/analyst-ratings/analyst-color/22/03/26232508/apple-watch-series-3-is-nearing-the-end-of-its-life-analyst-says-heres-why,"Apple Inc.  ( NASDAQ: AAPL )  may discontinue Its Watch Series 3 in the third quarter of this year, according to prominent analyst Ming-Chi Kuo.
What Happened: The Apple Watch 3 may reach the end of its life in the third quarter since its computing power will not meet the requirements of the new ver",-0.036693,0.999579,-0.019923,0.03038048145614893,0.0302631877805291,0.03040149630096204,0.030241675579023495,0.10790490077518457,-0.019923,"(0.0302, 0.0324]","(155.85, 170.09]",1,1.0,516.4754795166486,516.4754795166486,0.0,0.0
