,index,date,n_weekday,holidays,open,high,low,close,adj close,volume,dividends,stock splits,title,url,summary,overall_sentiment_score,relevance_score,ticker_sentiment_score,feature_nweek,feature_holiday,feature_close,feature_open,feature_high,feature_low,feature_volume,feature_sentiment,position,real_position,portfolio_valuation,Asset_value,Money_fiat,reward
0,3060,2022-03-01,1,0,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,161.56195068359375,83474400.0,0.0,0.0,"US stocks fall, oil tops $105 as Ukraine crisis rattles markets",https://www.aljazeera.com/economy/2022/3/1/us-stocks-fall-oil-tops-105-as-ukraine-crisis-rattles-markets,"A surge in oil sent shivers through risky assets Tuesday, reversing an early recovery in American stocks and sending some European markets down 4%. Bonds rallied amid concern about the impact of war on global economies, with 10-year U.S. yields posting their worst four-day drop since December.",-0.27746,0.062711,-0.24775,1,0,0.8237847480967334,0.8313562992318537,0.8409469768827535,0.817576097732039,0.4213537920489932,-0.24775,1,,100.0,100.0,0.0,0
1,3061,2022-03-02,2,0,164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,164.8882293701172,79724800.0,0.0,0.0,Russia says its economy is taking 'serious blows' as isolation grows,https://www.cnn.com/2022/03/02/business/russia-markets-economy-sberbank/index.html,"London/Moscow  (  CNN Business  )  The Russian economy is taking ""serious blows,"" the Kremlin acknowledged Wednesday, as the country's growing isolation piles further pressure on its tottering financial system.",-0.469431,0.195245,-0.420224,2,0,0.840745025720275,0.8297915243207504,0.8447832017300327,0.8225228229075466,0.40242693329149504,-0.420224,0,0.0,102.05882394190067,0.0,102.05882394190067,2.0588239419006698
2,3062,2022-03-03,3,0,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,164.56155395507812,76678400.0,0.0,0.0,Why many businesses are getting tougher on Russia than sanctions require | Business,https://www.cnn.com/2022/03/03/business/business-go-beyond-russian-sanctions/index.html,Why many businesses are getting tougher on Russia than sanctions require CNN,-0.32199,0.164618,-0.249584,3,0,0.8390792752279325,0.8503861526508939,0.8526071533073507,0.835646875683809,0.38704961770614127,-0.249584,0,0.0,102.05882394190067,0.0,102.05882394190067,0.0
3,3063,2022-03-04,4,0,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,161.53224182128906,83737200.0,0.0,0.0,How to Boost Your Portfolio with Top Computer and Technology Stocks Set to Beat Earnings,https://www.zacks.com/stock/news/1877470/how-to-boost-your-portfolio-with-top-computer-and-technology-stocks-set-to-beat-earnings,Investors looking for ways to find stocks that are set to beat quarterly earnings estimates should check out the Zacks Earnings ESP.,0.095876,0.304774,0.078917,4,0,0.8236333232357751,0.8302963252051455,0.835646875683809,0.8182323234773925,0.4226803278078663,0.078917,1,1.0,102.05882394190067,102.05882394190067,0.0,0.0
4,3539,2022-03-05,5,0,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,161.53224182128906,83737200.0,0.0,,Facebook Takes a Side in Russia's Invasion of Ukraine,https://www.thestreet.com/technology/facebook-no-longer-responds-in-russia,Social media giant is among companies that announced aggressive measures to curb Russian propaganda after Moscow invaded Ukraine.,-0.252991,0.176159,-0.503736,5,0,0.8236333232357751,0.8302963252051455,0.835646875683809,0.8182323234773925,0.4226803278078663,-0.503736,1,1.0,102.05882394190067,102.05882394190067,0.0,0.0
5,3540,2022-03-06,6,0,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,161.53224182128906,83737200.0,0.0,,"Why Springsteen, Dylan and Other Music Artists Sell Their Catalog",https://www.thestreet.com/investing/heres-why-bruce-springsteen-and-musics-biggest-artists-are-selling-their-catalogs,"Investing in the copyrights to Bob Dylan, Sting and Red Hot Chili Peppers is a steady bet.",0.036571,0.338853,0.246254,6,0,0.8236333232357751,0.8302963252051455,0.835646875683809,0.8182323234773925,0.4226803278078663,0.246254,0,0.0,102.05882394190067,0.0,102.05882394190067,0.0
6,3064,2022-03-07,0,0,163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,157.7011260986328,96418800.0,0.0,0.0,Here's How Wedbush Views Apple Ahead Of Its March 8 Event,https://www.benzinga.com/news/22/03/26016559/heres-how-wedbush-views-apple-ahead-of-its-march-8-event,"Wedbush analyst Dan Ives rated Apple Inc  ( NASDAQ: AAPL )  as Outperform with a $200 price target  ( 22.6% upside ) .
The iPhone maker is set to host a virtual product event tomorrow, where it will likely unveil a new iPhone SE with 5G capabilities and a new iPad Air and some Macs using its M-serie",-0.074536,0.607733,0.00384,0,0,0.804098745954141,0.8245923987030451,0.8329716004444773,0.8027862944634341,0.48669324972462774,0.00384,1,1.0,102.05882394190067,102.05882394190067,0.0,0.0
7,3065,2022-03-08,1,0,158.82000732421875,162.8800048828125,155.8000030517578,157.44000244140625,155.8597869873047,131148300.0,0.0,0.0,3 Non-Apple Stocks To Play The New iPhone And iPad Air,https://www.benzinga.com/news/22/03/26047683/3-non-apple-stocks-to-play-the-new-iphone-and-ipad-air,"Apple Inc  ( NASDAQ: AAPL )  has concluded its Tuesday keynote event, where Cupertino unveiled new products, software and plans for AppleTV in 2022. The new products include the iPhone SE, iPad Air, iMac and Mac Studio. 
In the hours leading up to the event, shares of Apple were trading 2.2% higher ",-0.014092,0.971941,0.005752,1,0,0.7947100194657197,0.8016758711570068,0.822169523905911,0.7864317933055268,0.6619973731560691,0.005752,1,1.0,100.86717628849779,100.86717628849779,0.0,-1.1916476534028817
8,3066,2022-03-09,2,0,161.47999572753906,163.41000366210938,159.41000366210938,162.9499969482422,161.314453125,91454900.0,0.0,0.0,Apple  ( AAPL )  Inks Streaming Deal With Major League Baseball,https://www.zacks.com/stock/news/1879582/apple-aapl-inks-streaming-deal-with-major-league-baseball,Apple (AAPL) announces its deal with Major League Baseball to stream weekday national games via the Apple TV+ streaming service.,-0.045394,0.924906,-0.033773,2,0,0.8225228229075466,0.8151026966333846,0.8248447991452428,0.8046539961182552,0.4616369679382118,-0.033773,1,1.0,104.39726761631339,104.39726761631339,0.0,3.5300913278155974
9,3067,2022-03-10,3,0,160.1999969482422,160.38999938964844,155.97999572753906,158.52000427246094,156.92893981933594,105342000.0,0.0,0.0,Here's What Social Media Had to Say About Apple's Big Event,https://www.thestreet.com/technology/heres-what-social-media-had-to-say-about-apples-big-event,From the brief Spotify outage to a Big Mac reference and lots more that happened real time during Apple's marquee event.,0.014178,0.695951,-0.001095,3,0,0.8001615455256225,0.8086416458264927,0.8096007212937628,0.7873403424712767,0.5317348931172317,-0.001095,1,1.0,101.55910167845983,101.55910167845983,0.0,-2.83816593785356
